,questions,short_answers,responses,logits_of_answers
9306,Answer the question concisely with only the answer: who created a statue of the idealized male thus creating the greek canon of proportions? Answer:,Polykleitos,"Phidias.
What is",0.7288524508476257
9307,Answer the question concisely with only the answer: where does clifford the big red dog live? Answer:,Fictional island of Bird well Island,"Birdwell Island.
Answer the",0.8329850435256958
9308,Answer the question concisely with only the answer: who is the surfer who lost her arm? Answer:,Bethany Malawi Hamilton - Dirks,"Bethany Hamilton. 
Answer",0.853592038154602
9309,Answer the question concisely with only the answer: when did amazon start charging state sales tax? Answer:,2011,"2013. 
When",0.501888632774353
9310,Answer the question concisely with only the answer: what is the name given to the chief religious leader of a synagogue? Answer:,rabbi,"Rabbi.
Answer the question conc",0.8815826177597046
9311,Answer the question concisely with only the answer: fairground ride where you stick to the wall? Answer:,The Rotor,Bungee Run.,0.6053799986839294
9312,Answer the question concisely with only the answer: when is nexo knights season 5 coming out? Answer:,"June 21st, 2018",There is no official release date,0.9391633868217468
9313,Answer the question concisely with only the answer: which is the highest budget film in the world? Answer:,Pirates of the Caribbean : On Stranger Tides,Avatar (2009) with,0.8412043452262878
9314,Answer the question concisely with only the answer: who sang schoolhouse rock i'm just a bill? Answer:,Jack Sheldon,"Arnold Horshack.
Answer",0.8802110552787781
9315,Answer the question concisely with only the answer: when did the roman empire began to fall? Answer:,In 376,"180 AD.
What was",0.5955098867416382
9316,Answer the question concisely with only the answer: how did the french regain control of the louisiana territory? Answer:,In the secret Third Treaty of San Alfonso of 1800,The French regained control of the,0.9846974611282349
9317,Answer the question concisely with only the answer: volume of air lungs can hold at the end of maximum inhalation? Answer:,About liters,"5 liters
Answer the",0.688249945640564
9318,Answer the question concisely with only the answer: who sings i've got too much time on my hands? Answer:,Styx,"Bowling for Soup. 
Who",0.682998538017273
9319,Answer the question concisely with only the answer: when was wake me up before you go go? Answer:,1984,"1984. 
The",0.8025170564651489
9320,Answer the question concisely with only the answer: when did they stop using lead solder in plumbing? Answer:,After World War II,2014. Answer the,0.6720848083496094
9321,Answer the question concisely with only the answer: who plays the clown on american horror story freak show? Answer:,John Carroll Lynch,"Evan Peters. 
Answer the",0.9001381397247314
9322,Answer the question concisely with only the answer: what is the militia in the 2nd amendment? Answer:,Well regulated,"The people.
Answer the question",0.687010645866394
9323,Answer the question concisely with only the answer: where are presidential powers listed in the constitution? Answer:,Article II,"Article II, Section 1",0.8409508466720581
9324,Answer the question concisely with only the answer: an example of a metal which is liquid at room temperature is? Answer:,Pakistan,Mercury. Mercury is a metal,0.668212890625
9325,Answer the question concisely with only the answer: who is the most capped england footballer of all time? Answer:,Peter Hilton,"Peter Shilton. 
Who",0.8565036058425903
9326,Answer the question concisely with only the answer: where was channel 4's the state filmed? Answer:,Spain,The location of the filming of,0.37274235486984253
9327,Answer the question concisely with only the answer: who is the singer of main nachdi phira? Answer:,Meghan Mishra,Sukhwinder Singh.,0.7481392621994019
9328,Answer the question concisely with only the answer: what is the airport code for atlantic city new jersey? Answer:,"IATA : ACY, ICAO : KAY, FAA LID : ACY","ACY.
Answer the question",0.8899146914482117
9329,Answer the question concisely with only the answer: how many arms does a sea star have? Answer:,"Five arms, Though some species have a larger number of arms","5
Answer the question",0.7882927656173706
9330,Answer the question concisely with only the answer: how many 7 11 locations are there in the us? Answer:,", 144","Over 9,000.",0.7365562319755554
9331,Answer the question concisely with only the answer: where was the first mcdonald's built in the usa? Answer:,"December 12, 1948","San Bernardino, California. Next",0.7935619354248047
9332,Answer the question concisely with only the answer: who played rosie cotton in the lord of the rings? Answer:,Sarah McLeod,"Miranda Otto.
Answer the question",0.8015249967575073
9333,Answer the question concisely with only the answer: who wrote was this the face that launched a thousand ships? Answer:,Christopher Marlowe,"Virgil. 
This is",0.4900291860103607
9334,Answer the question concisely with only the answer: why did the first world war broke out? Answer:,"Assassination of Archduke Franz Ferdinand of Austria, Heir to the throne of Austria - Hungary, By Yugoslav nationalist Gavrilo PRINCIP in Sarajevo on 28 June 1914, Assassination of",The assassination of Archduke,0.8649842739105225
9335,Answer the question concisely with only the answer: how did the kinks get their distorted sound? Answer:,Guitarist Dave Davies of The Kinks used a razor blade to slash his speaker cones,By using a Vox AC30,0.6900750398635864
9336,Answer the question concisely with only the answer: where did the japanese airplanes take off from to go to pearl harbor? Answer:,From six aircraft carriers,The Japanese airplanes took off from,0.8650111556053162
9337,Answer the question concisely with only the answer: who wrote the music for fresh prince of bel air? Answer:,"Quincy Jones, executive","Quincy Jones. 
Answer the",0.8293754458427429
9338,Answer the question concisely with only the answer: who dies in game of thrones in the books? Answer:,Joanna Lannister,A number of characters die in,0.6872591972351074
9339,Answer the question concisely with only the answer: where does the prime rib cut come from on a cow? Answer:,The primal rib,The rib section. (Note,0.4936668872833252
9340,Answer the question concisely with only the answer: who sang the song the year of the cat? Answer:,Al Stewart,"Al Stewart. 
Answer the",0.8542496562004089
9341,Answer the question concisely with only the answer: who made the song i wish i was a baller? Answer:,See - Lo,"Gucci Mane. 
G",0.6863126158714294
9342,Answer the question concisely with only the answer: whos the main character in the great gatsby? Answer:,Nick Carraway,"Jay Gatsby.
Answer the",0.8775879144668579
9343,Answer the question concisely with only the answer: who wins great british bake off season 2? Answer:,Joanne Wheatley,Edd Kimber. Who wins,0.8030648231506348
9344,Answer the question concisely with only the answer: how many episodes are in the crown on netflix? Answer:,10,"40. 
Note:",0.7149068713188171
9345,Answer the question concisely with only the answer: who plays the god of death in thor? Answer:,Cate Blanchett,Ray Stevenson. who plays the,0.7861558198928833
9346,Answer the question concisely with only the answer: who played dr. frankenfurter in the pop-culture film 'rocky horror picture show? Answer:,Tim Curry,"Tim Curry.
Answer the question",0.9815454483032227
9347,Answer the question concisely with only the answer: where is protein digested in the human body? Answer:,In the Castro - intestinal tract,"In the small intestine.
Answer",0.7528716921806335
9348,Answer the question concisely with only the answer: who wrote i get high with a little help from my friends lyrics? Answer:,"John Lennon, Paul McCartney",John Lennon and Paul McCartney.,0.7733971476554871
9349,Answer the question concisely with only the answer: when do shawn and juliet become a couple? Answer:,By the end of the fifth season,"Season 4. 
When",0.49169835448265076
