Unnamed: 0,questions,short_answers,responses,matches
13326,Answer the question concisely with only the answer: what is gantt chart in software project management? Answer:,A type of bar chart that illustrates a project schedule,A Gantt chart is a,1
13327,Answer the question concisely with only the answer: who was killed in the ok corral gunfight? Answer:,"Billy Clinton, Tom and Frank McCarry","Billy Clanton, Tom Mc",1
13328,Answer the question concisely with only the answer: who has the most mvps in the nba finals? Answer:,Michael Jordan,Kareem Abdul-Jabbar,0
13329,Answer the question concisely with only the answer: where does the centre of mass of a cone lie? Answer:,"One - quarter of the way from the center of the base to the vertex, On the straight line joining the two",At its apex. Step,0
13330,Answer the question concisely with only the answer: the city that was site of the single bloodiest day in american history? Answer:,Sharpsburg,Gettysburg. Get,0
13331,Answer the question concisely with only the answer: who was the emperor of japan in ww2? Answer:,Emperor Hirohito,"Hirohito.
Answer the",1
13332,Answer the question concisely with only the answer: who gave the title of quaid e azam? Answer:,Main Ferozuddin Ahmed,Muhammad Ali Jinnah.,0
13333,Answer the question concisely with only the answer: what was the name of the first atomic bomb dropped on japan? Answer:,`` Little Boy '',"Little Boy.
What was the",1
13334,Answer the question concisely with only the answer: when did the ipod touch first come out? Answer:,"September, 2007","September 5, 200",1
13335,Answer the question concisely with only the answer: who discover the role of yeast in fermentation? Answer:,Louis Pasteur,Louis Pasteur. who discover,1
13336,Answer the question concisely with only the answer: who plays kyle in the young and the restless? Answer:,Michael Meal or,Michael Muhney.,1
13337,Answer the question concisely with only the answer: when was the va declaration of rights written? Answer:,1776,1776. when was,1
13338,Answer the question concisely with only the answer: what is the oldest canal in the uk? Answer:,Newly Canal in Northern Ireland,"The Bridgewater Canal, which",1
13339,Answer the question concisely with only the answer: who won the last olympic men's hockey? Answer:,Olympic Athletes from Russia,"Canada. 
Who won the",0
13340,Answer the question concisely with only the answer: who played barry gordy on the temptations movie? Answer:,BBA Babatundé,Glynn Turman.?,0
13341,Answer the question concisely with only the answer: when did the samsung galaxy alpha come out? Answer:,September 2014,"2014.
The Samsung",1
13342,Answer the question concisely with only the answer: who sang the song bang bang you shot me down? Answer:,American singer - actress Cher,"Cher. 
Who sang the",1
13343,Answer the question concisely with only the answer: 1 ton is equal to how many btu? Answer:,"12,000 BTU / h","12,000 btu",1
13344,Answer the question concisely with only the answer: one of the pointed divisions of a fork? Answer:,tines,Tine. Answer the question,0
13345,Answer the question concisely with only the answer: who sang old man river in the film showboat? Answer:,Paul Robeson,"Paul Robeson.
Answer the",1
13346,Answer the question concisely with only the answer: where is the ohio state fair located at? Answer:,"Columbus, Ohio",717 E 17th,0
13347,Answer the question concisely with only the answer: a barr body in a mammalian female cell represents? Answer:,The inactive X chromosome in a female somatic cell,A genetically inactive X chromosome.,1
13348,Answer the question concisely with only the answer: what is the definition of metabolism in science? Answer:,Set of life - sustaining chemical transformations within the cells of organisms,The process by which living organisms,1
13349,Answer the question concisely with only the answer: when did gardens of the galaxy come out? Answer:,2014,"2017. 
The",0
13350,Answer the question concisely with only the answer: what's the purpose of the statue of liberty? Answer:,"The Statue of Liberty is a figure of a robed woman representing Liberal, A Roman liberty goddess - also incorporating some elements reminiscent of another Roman deity, Sol Invictus. She holds a torch above her head with her right hand, And in her left hand carries a tabular ansatz inscribed in Roman numerals with `` JULY IV MDCCLXXVI '' (July, 1776), The date of the U.S. Declaration of Independence. A broken chain lies at her feet. The statue became an icon of freedom and of the United States, And was a welcoming sight to immigrants arriving from abroad.",To symbolize freedom and democracy,1
13351,Answer the question concisely with only the answer: how many molecules of atp does anaerobic metabolism produce? Answer:,Molecules ATP per molecule glucose,"2
Answer the question",0
13352,Answer the question concisely with only the answer: which is the largest mall in united arab emirates? Answer:,The Dubai Mall,"Dubai Mall. 
The post",1
13353,Answer the question concisely with only the answer: what is it called when it goes from a solid to a gas? Answer:,Deposition,"sublimation.
What is",0
13354,Answer the question concisely with only the answer: who conquered the byzantine empire in the 15th century? Answer:,Mehmed the Conqueror,"The Ottoman Empire, specifically Meh",1
13355,Answer the question concisely with only the answer: what type of animal is plankton from spongebob? Answer:,Planktonic cope pod,"A jellyfish. 
What",0
13356,Answer the question concisely with only the answer: who played doc holliday in the wyatt earp movie? Answer:,Dennis Quiet,"Kevin Costner.?
What",0
13357,Answer the question concisely with only the answer: what form of goverment does the united states have? Answer:,Federal republic,"Constitutional Federal Republic.
This is",1
13358,Answer the question concisely with only the answer: who sang the song let it go from frozen? Answer:,"In the film by American actress and singer Dina Mendel, Actress and singer Demi Lovato over the start of the film's closing credits",Idina Menzel.,1
13359,Answer the question concisely with only the answer: who won the last battle on the voice? Answer:,Brynn Carelli,"Chris Blue.
The Voice is",0
13360,Answer the question concisely with only the answer: 8. in 1936 which state became the first to be formed on linguistic basis? Answer:,Odessa Province,Bihar. in 1947,0
13361,Answer the question concisely with only the answer: briefly describe the shape of the bacterium that causes cholera? Answer:,Comma - shaped,The bacterium Vibrio chol,0
13362,Answer the question concisely with only the answer: where is yellow sea located on a map? Answer:,Between China and Korea,"East Asia, between China and",1
13363,Answer the question concisely with only the answer: when does the us elect a new president? Answer:,"Tuesday, November, 2020","Every 4 years, on",0
13364,Answer the question concisely with only the answer: when did mens wigs go out of fashion? Answer:,By the start of the 19th century,The 1970s.,1
13365,Answer the question concisely with only the answer: what is singular value decomposition of a matrix? Answer:,"The generalization of the eigendecomposition of a positive semidefinite normal matrix (for example, A symmetric matrix with positive eigenvalues) to any m × n (\ display style m \ times n) matrix via an extension of the polar decomposition",It is a factorization of,1
