short_answers,responses,matches
"November, 2010",1977. The question,0
Lee Grinder Pace,Lee Pace. who plays elf,0
Channing Tatum,Chadwick Boseman.,0
Adele,"Eminem. 
The question",0
United States,The US Women's National Team,0
Between 1886 and 1894,1886-1894,0
ark,"The Ark.
The Torah is",1
Don Quixote,"Ancient Greece.
Answer the question",0
freedom,Freedom. What does the name,1
United States Marine Corps Forces Special Operations Command (MAR SOC),Force Reconnaissance (Force Recon,0
22 percent,Approximately 22% of the,0
"Chatty and Winds of London, American Publishing Company",Harper's Bazaar. (,0
Adam Conover,"Adam Conover. 
Adam",1
Evaporative cooling,evaporation. Answer the question,0
English expression,From a 16th-century,0
In the northern part of North America,"North America.
Answer the question",0
"Lee Torso, Kirk Herbstreit",Kirk Herbstreit and,0
Planted trees on one - fourth of the land,logged trees from the public domain,0
Eric Carmen,Taryn Manning.,0
Daenerys Targaryen,"None, there is no dragon",0
Parafollicular cells,Parafollicular cells,1
Caroline Rhea,"Melissa Joan Hart. 
Answer",0
"Liberty, elite, fraternity","""Liberté, É",0
Lob law Companies,Loblaw Companies Limited. is,0
Stephanie Courtney,actress Lily Tomlin.,0
The Act of Union in 1707,Scotland and England were united under,0
Connects the two anterior cerebral arteries across the commencement of the longitudinal fissure,Between the two hemispheres,0
Shakambhari,Ajmer. Explanation: The,0
Rococo - era France,2017. The new,0
W16 engines,W16. What is the,0
Max Lloyd - Jones,"Stephen Huszar. 
The",0
14-Jun-10,"2009. 
Answer",0
24-Feb-99,1993. Next Question,0
Beretta,"Jimmy Walker. 
Who said",0
Peter Gardner Rostrum,"Peter Ostrum.
Answer",0
1990,"1990. 
The",1
"Soviet Union, United States",The main countries involved in the,0
"Critiques consumerism and irresponsible development, Laments environmental degradation and global warming","Climate change, environmental degradation,",0
10-Feb-17,"2017. 
The",0
Ben & Jerry's,"Unilever.
Answer the",0
Trey Parker,"Trey Parker. 
What is",1
Ryan Barrow Succor,Ryan Succop. who is,0
Liam Neeson,Liam Neeson. Liam Ne,1
Two passages from Saint Luke's Gospel,The Hail Mary prayer originated,0
Toothless,"Toothless.
The answer to",1
Danny O'Keefe,"Louis Armstrong.
Who wrote the",0
Post-apocalyptic United States,The United States. and the,0
"Enumerated powers, Implied powers",enumerated powers. powers of the,0
1995,"1995. 
Answer",1
Facilitates the exchange of nutrients and metabolic waste,The osteon serves as a,0
Sent,The Chola dynasty. The,0
Four,"2. 

## Step",0
950 Pennsylvania Avenue NW,"950 Pennsylvania Avenue NW,",1
Greg Maddox,"Brooks Robinson. Brooks Robinson,",0
Constitutional monarchy,"Apartheid government.
What",0
"Egypt (known at the time as the United Arab Republic), Jordan, And Syria","Egypt, Jordan, and Syria",0
Brockton High School,Springfield Central High School.,0
Franco Nero,Chiara Mastalli.,0
Winners of the most prestigious amateur tournaments in the world,Professionals who are top 50,0
Infantry and cavalry soldiers charged with guarding the official royal residences in the United Kingdom,To protect the royal family.,0
"Concetta studios, Rome, A small airport fifteen miles north of Monument Valley, In Utah, La Calabria, County of Audio, Near Spadix, In the Province of Granada, Spain",1968. Answer the,0
In its citizens,In the people. (Note,0
Calder Valley,"Yorkshire. 
What is the",0
2005,"2005. 
Answer",1
Peter Gardner Rostrum,Gene Wilder. Who played,0
"Upper limbs, eyes, neck",the head and upper body.,0
Jacques Cartier,Samuel de Champlain. Source,0
"Adipose tissue, Storing energy as fat",Adiponectin.,0
Still - water sources,"in water.

## Step",0
In many cases no payment is made,No. They don't.,0
British,The British won the battle of,1
Promote the ratification of the United States Constitution,To persuade the public to rat,0
"Charles Augustus Lindbergh (February, 1902 -- August 26, 1974), Nicknamed Lucky Lindy, The Lone Eagle, And Slim","Charles Lindbergh.
Answer",0
The Belle Stars,"Harry Styles. 
The post",0
English singer Sam Smith,"Sam Smith
Answer the question",0
Alan Douglas Ruck,"Alan Ruck. 
Answer",0
"The Rude Boys, Joe N Little III, Edward Buddy Banks, Gerald Lever","The Script. 
The Script",0
Chicago Cubs,The New York Yankees. who,0
"Simon Cowell, David Kruger, Per Mansion, Richard Page","Julia Ward Howe. 
Note",0
Methuselah,Methuselah. Methus,1
Never been known with any precision,$1.4 trillion.,0
Delphine Gibson,According to the Gerontology Research,0
1757,"1747. 
Come",0
Single - cell microorganism,Eukaryotic. What,0
"Brad Kane, Lea Along",Lea Salonga. The,0
Nancy Birtwhistle,Nadiya Hussain.,0
17,22.. 202,0
synopsis,During prophase I of me,0
"Shaquille O'Neal, Chris Webber, Reggie Miller, Nate Robinson, Lisa Leslie",Shaquille O'Neal,1
Square dance,Waltz. Step 1,0
Bantam,chinsura (hoogh,0
2016,"2016. 
What",1
Judy Garland,"Judy Garland. 
Who plays",1
American Authors,"American Authors. 
The song",1
John Chambers,"John Chambers. 
Answer the",1
Trent Harmon,"Trent Harmon.
Answer the question",1
Mary Eileen McDonnell,"Kevin Costner. 
Answer",0
50%,50%. Note:,0
Position,"The Kath and Kim movie,",0
Louis C.K.,"Patton Oswalt. 
The",0
29-Mar-18,"March 29, 201",1
The Practice,"The Practice.
Answer the question",1
With his multi-tool,He uses a dull pocket knife,0
Corona,"Italy. 
Under the Tus",0
"Transferred to the Domestic Trafficking Task Force,","Las Vegas. 
Agent Se",0
23-Oct-01,2001. Answer the,0
Madison Nicole Ziegler,Maddie Ziegler.,0
The Appointments Clause,The Senate has the constitutional authority,0
"Medicine was divided into specializations such as ophthalmology and urology. A variety of surgical procedures were carried out using many instruments including forceps, Scalpels and catheters.",They developed a system of hospitals,0
Alabama,"Alabama.?
Answer the question",1
The English Channel,the North Sea meets the Atlantic,0
Swedish pop group ABBA,"Marvin Gaye. 
Mar",0
2001,"2022.
Answer the",0
Parochial,"Paronychia.
Answer the",0
Mammary glands,"Udder.

## Step",0
Pierson Dane Code,2 actors have played the,0
Seals and Crofts,"She & Him. 
The",0
"Big Freesia, Th Ward Weenie",Future. 1 2,0
The colony of New Zealand,Elizabeth Cady Stanton. However,0
Kathy Kinney,"Patricia Richardson. 
Who plays",0
Lieutenant Colonel Charles Manhood,General Charles Mawhood.,0
"Often an emblem of the sovereign state, A monarch's government, Or items endorsed by it",Royalty or nobility.,0
Adam Shah,Mughal emperor Aurang,0
"November, 2017","April 2, 201",0
Responded s'IL vows plait meaning `` Please respond '',"Response. 
What is the",0
A maroon Bristol 405,1938 Bugatti Type,0
"$300,000 ","$125,000.
Dan",0
General Surgery,General surgery. What is the,1
Nolan Ryan,Nolan Ryan. who has the,1
Barbara Dickson,"Elaine Paige.
Answer the question",0
The expected value,the population mean. Answer the,0
350 °F (175 °C),375 degrees. 1,0
Sarah Utterback's Nurse Olivia Harper,Owen. Who comes back to,0
The label given by some historians to a period during the French Revolution after the First French Republic was established,A period of violence and repression,0
Joe South,"Joe Diffie. 
Who",0
"The United Kingdom, France, Italy",The film was shot in various,0
1954 -- 55 season,1954. Was the,0
To warn of level crossings ahead,2. 2.,0
Venting and light,"Because it is a full """,0
"August, 2018","July 20, 202",0
"Childish Gambino, Ludwig Göransson","Donald Glover. 

Who produced",0
"French army, Two of the armies of the Seventh Coalition, British - led Allied army, Prussian army",Napoleon Bonaparte and the,0
Interpersonal relations,"offending others.
Answer the question",0
A hypothesis that there exists a subset of children with rapid onset of obsessive - compulsive disorder (OCD) or tic disorders and these symptoms are caused by group A beta - hemolytic streptococcal (GABS) infections,A genus of bears.,0
Two centuries of peace between the United States and Britain,The war of 1812,0
Brad William Hence,"Brad Garrett. 
Answer the",0
1933,"1940.
Air conditioning",0
During the Middle Ages,14th century. Question,0
Chad Michaels,"Chad Michaels. 
Answer the",1
United States,The Great Plains of the United,0
Aka all - Fit,Fitr. What is the,0
Joey D'Aria,Bob Bell and Joey D'A,0
Approximately 98 000 lux (lumens per square meter),3.8 x,0
Satyendranath Tagore,"Sir Richard Meade,",0
"cirrus, cirrocumulus, cirrostratus, alto cumulus, altostratus, nimbostratus, cumulus, cumulonimbus, stratocumulus, stratus","Cumulus, Stratus,",0
16-Feb-18,"2018. 
Answer",0
Ireland,Ireland. Is this correct?,1
Collingwood,Collingwood won.,1
cadmium,"Heavy metals like lead, mercury",0
24,"24. 
How many",1
"Sir Benjamin `` Ben '' Wyatt, O.B.E.",Leslie marries Ben Wyatt.,0
Volstead Act,The U.S. Treasury Department,0
Scouters,Mary Streatfeild.,0
Marvin Gaye and Tammi Terrell,Marvin Gaye and Tammi,1
Age 15 -- 17,10th grade.,0
1998,"1998. 
Pretty",1
1955,1962. When was,0
Jul-97,"July 1, 199",0
"Alexander Hamilton, Who served as the first U.S. Secretary of the Treasury","Alexander Hamilton. 
The picture",0
Coaster Fanboy Dakar (1815 - 73) and his associates,Cowasji Jehangir,0
Iran,Bangladesh. Bangladesh's head of,0
"April, 2015","April 3, 201",0
Philippe Petite,"Philippe Petit.
Philippe Petit",0
The chest,Between the diaphragm and,0
An African - American woman who seeks to clear the name of her wrongly convicted husband and prove his innocence before the birth of their child.,If Beale Street Could Talk,0
120 km / h (75 mph),120 km/h. What,0
"Annabella Sierra, Rebecca De Mornay","Bette Midler, Ann",0
On the occasion of a significant anniversary,When you're engaged.,0
"Colin More, Ryan Stiles, Wayne Brady, Drew Carey",The Original Cast included: Richard,0
A talent manager,A manager. Answer the question,0
Creed,"Rocky Balboa. 
Who",0
Mike Viola,"98 degrees. 
Answer",0
1721,Eden Gardens in Kolkata.,0
10 episodes,"70.

Explanation: Rick",0
71 years,Angela Iacobelli.,0
The Brothers McMullin,A Walk to Remember. What,0
Ernest Mich aux,Gottlieb Daimler,0
The War Guilt clause,"The war guilt clause, also",1
"In the small fictional town of Orson, Indiana","Orson, Indiana.",0
"Dunn, 2011",Yes. Travis Barker's friend,0
Jamaal Khan,Arijit Singh.,0
Jacqueline and Joyce Robbins,Vera Farmiga and Laurie Met,0
House of Representatives,"House of Representatives. 
The",1
1842,"1799.
What Is",0
23-Aug-16,"June 13, 201",0
Daisy Jazz Isabel Ridley,"John Boyega. 
Answer",0
King George V and Queen Mary,"shershaah.
The",0
Massachusetts,"Massachusetts.

## Step 1",1
An unknown recipient,Charlie writes to an anonymous friend,0
isolationist,"Isolationism.
Answer the",0
"July 20, 1969, At 20 : 18 UTC","July 20, 196",1
Braising steak,"Beef brisket. 
Be",0
Frédéric Chopin,"Richard Wagner. 
The term",0
Below the skin at the back of the neck between the shoulder blades on the dorsal midline,"Under the tongue. 
Answer",0
Richard and Catherine,"April and Matthew. 

Who",0
1964,"1964. 
Answer",1
Mark Ian Add,Mark Addy. who played,0
The Queen of Hearts,The Queen of Hearts.,1
"March, 2017 in Japan, March 28, 2017 in North America","March 9, 201",0
Emma Webster,Bea Benaderet.,0
Drug trafficking,He's in prison for tax,0
That Brasi's corpse was thrown into a body of water by Solozzo's and Tattaglia's men,It means that Luca Brasi,0
Three - year terms,"3 years
Answer the",0
1992,2007. Step,0
FedEx,"FedEx. 
Who did tom",1
21-Jul-17,It airs on Disney Channel on,0
From about. % ABV to more than 20 %,8-12%. What,0
1986,"1986.
What year",1
"Gastrointestinal tract, gallbladder, pancreas, spleen",The blood in the hepatic,0
The Highly River,Hooghly River. Answer,0
Violet Brown,Lucile Randon,0
"Kelsey Grammar, Dave Kelly, Jake Wood","Jake Wood. 
Who is",0
Mark Lester,Ron Moody. who played f,0
The Pennsylvania Department of Transportation (Penn DOT),Pennsylvania Department of Transportation (Penn,1
weight,Weight. Question 2:,1
Kerala,"Kerala.
The question asks for",1
Olaf,"Olaf. 
This response",1
"Hard Rock Stadium (formerly Joe Robbie Stadium) in Miami Gardens, Florida","Miami. 
Note: The",0
After a foul,when a player is fouled,0
446,"446 bridges.
The city",1
Catherine Bach,"Catherine Bach.
Who played Daisy",1
British Colonial Christian theologian Jonathan Edwards,"Jonathan Edwards.
The sermon that",0
1999,"June 30, 199",0
Total sum of squares = explained sum of squares + residual sum of squares,You use the formula SSR =,0
The fifth,The fifth. 10th,1
"11, 14, And 15","Apollo 11, Apollo",0
Hollis `` Holly '' Partridge Scott,"Holly Flax. 
Answer",0
James Fuller `` Jim '' Fix,Steve Prefontaine.,0
love,"Nonsense verse.
Answer the",0
Mark Ian Add,"Mark Addy. 
Who",0
monogamous,Monogamous heterosexual marriage.,1
Before the start of the sixth season,The books ended in the season,0
Harry Someone Chorale,"Bing Crosby.
Answer the question",0
Sent the band members an e-mail telling them he had quit,He left the band in,0
twice,"2 times. Next,",0
Drug Enforcement Administration,The Drug Enforcement Administration (DE,1
The U.S. team,USA won the hockey game,0
13-Jul-18,"October 7, 202",0
Eliza Gladys `` Milling '' Dean,"Millvina Dean.
Mill",0
1840,"1840.
Answer the",1
Depletes the soil of certain nutrients,Soil degradation. What is the,0
Nicolaus Copernicus,"Copernicus. 
The",0
"A year younger than Betsy Bobbin and a year older than Trot, Whose age was specified as 10 in Ruth Glumly Thompson's The Giant Horse of Oz","12
Answer the question",0
Lauren,"Dyson. 
Who does",0
Ibrahim Idris Sputum,"Usman Baba
The Inspector",0
678 - 999 - 8212,"555.
Answer the question",0
March 1862,1862. 186,0
Vital Shah,The Vaghela dynasty.,0
1999,"1999. 
When",1
Dr APJ Abdul Adam,shahjahan road was,0
The Sons of Liberty,James Otis and Patrick Henry,0
Sundays at pm Eastern time during the football season,Wednesday at 10:00,0
Ground track,"Mercator projection.
Answer the",0
65 mph,"80 mph.
What is",0
"Republican incumbent Brad Scheme, Voting rights attorney and former federal prosecutor Josh Paul",Josh Kaul and Eric T,0
11 miles outside of Homer,The Kenai Peninsula and Anch,0
Georgia,"Georgia. 
What state is",1
A fictional aphrodisiac,The song is about a woman,0
John Hawkins,Sir Walter Raleigh. who was,0
"Pyongyang County, South Korea","Pyeongchang, South",0
Actor Warren Beatty,David Bowie. and Elton,0
"1950, 1955, 1956, 1974, 1975, 1985, 2000","2000. 
The",0
Kareem Abdul - Jabber,Kareem Abdul-Jabbar,0
12,8. Answer the question,0
Joaquin Phoenix,"Charlie Shotwell. 
Who",0
2001,"2001.
Answer the",1
"Ingrid Bergman, Albert Finney, Sean Connery, John Gielgud, Vanessa Redgrave, Michael York, Jacqueline Basset, Anthony Perkins, Wendy Hitler",Peter Ustinov.,0
Sun dance Head,Cassadee Pope. who,0
"The ninth episode of season, `` Baylor ''",In the final season of the,0
", Domingo",Colman Domingo. who,0
12-Oct-18,"October 12, 201",1
Thomas Alva Edison,"Thomas Edison. 
Who was",0
The Glade,The Glade. (Note,1
"Dubuque County, Iowa, Near Ayersville","Dyersville, Iowa.",0
The aunt of Tommy,Tommy Shelby is Polly's husband,0
Kelvin,"Gabriel Fahrenheit.
Answer the question",0
Joseph Kim Mitchell,5 Seconds of Summer,0
Based on Jack Pastorius's `` Portrait of Tracy.,"The song ""Rain"" by",0
