,questions,short_answers,responses
2152,Answer the question concisely with only the answer: who built the mission san carlos borromeo de carmelo? Answer:,Franciscan missionaries,Junipero Serra.
2153,Answer the question concisely with only the answer: so far away by avenged sevenfold lyrics meaning? Answer:,"A tribute to the band's original drummer Jimmy `` The Rev '' Sullivan, Who died in December 2009",The lyrics describe a sense of
2154,Answer the question concisely with only the answer: when did the troubles begin in northern ireland? Answer:,In the late 1960s,1968. when did
2155,Answer the question concisely with only the answer: when did they stop making the pontiac g6? Answer:,2010,"2010.
The Pont"
2156,Answer the question concisely with only the answer: how many times have the seahawks been to the playoffs? Answer:,16,"11 times. 
I"
2157,Answer the question concisely with only the answer: when did the $50 note come out in australia? Answer:,1973,"2016. 
Answer"
2158,Answer the question concisely with only the answer: who had propounded the dynamic theory of origin of ocean tides? Answer:,Pierre - Simon Laplace,"Sir George Darwin.
Answer the"
2159,Answer the question concisely with only the answer: the type of consciousness we experience when we are conscious of external sensations? Answer:,interception,"Somatic consciousness.
The type"
2160,Answer the question concisely with only the answer: which part of the plant turmeric is obtained? Answer:,The rhizomes,Rhizome. Step
2161,Answer the question concisely with only the answer: when did call of duty ww 2 come out? Answer:,"November, 2017","November 3, 201"
2162,Answer the question concisely with only the answer: when is the movie the irishman coming out? Answer:,2019,The Irishman will be released
2163,Answer the question concisely with only the answer: who played glinda the good witch of the north in the wizard of oz? Answer:,Mary William Herbert Appleton `` Billie '' Burke,"Billie Burke.?
Answer"
2164,Answer the question concisely with only the answer: who promoted a pair of twins into the sky as gemini? Answer:,Zeus,"The Greeks.
Answer the question"
2165,Answer the question concisely with only the answer: when was the bringing them home report released? Answer:,On 11 May 1995,"2006. 
Answer"
2166,Answer the question concisely with only the answer: whats the name of the zoey 101 theme song? Answer:,Follow Me,"""Follow Me"" by The"
2167,Answer the question concisely with only the answer: what is illegal under the computer misuse act 1990? Answer:,"Unauthorised access to computer material, Unauthorised access with intent to commit or facilitate commission of further offenses, Unauthorised modification of computer material",Unauthorised access to computer
2168,Answer the question concisely with only the answer: who is the us senator for new york? Answer:,"Kirsten Gilliland, Chuck Schumer",Chuck Schumer. Who is the
2169,Answer the question concisely with only the answer: the daughter of a priest and concubine of agamemnon? Answer:,Chrysalis,"Clytemnestra.
Answer"
2170,Answer the question concisely with only the answer: when did the chinese pull out of the olympics? Answer:,From 1952 to 1976 (Winter),"1949.
Answer the"
2171,Answer the question concisely with only the answer: something that can dissolve is described as being? Answer:,solutes,soluble. (2004)
2172,Answer the question concisely with only the answer: what are three other names for makar sankranti? Answer:,"Mafia, Gujarat, Math BHU",Poush Sankr
2173,Answer the question concisely with only the answer: who is the actor who plays eleven in stranger things? Answer:,Millie Bobby Brown,Millie Bobby Brown.
2174,Answer the question concisely with only the answer: who played taylor in the pilot of american housewife? Answer:,Johnny Sequoya,Katy Mixon. who played
2175,Answer the question concisely with only the answer: who does luann's voice on king of the hill? Answer:,Brittany Murphy,"Pamela Adlon. 
Answer"
2176,Answer the question concisely with only the answer: who directed the film in which kamal hassan made his acting debut? Answer:,K. Salamander,Bharathiraja. (
2177,Answer the question concisely with only the answer: what is the name of the flower in little shop of horrors? Answer:,Audrey II,"Audrey.
The 1986"
2178,Answer the question concisely with only the answer: what is the song mama by jonas blue about? Answer:,"That period of your life when you're young and carefree, Without stress, Bills and problems and all you care about is having a good time with your friends every day and night","The song ""Mama"""
2179,Answer the question concisely with only the answer: who plays the bad guy in wild wild west? Answer:,Confederate General `` Bloodbath '' McGrath,"Javier Bardem. 
Answer"
2180,Answer the question concisely with only the answer: what do they do on the first day of the dead? Answer:,Honor dead children and infants,They celebrate it with altars
2181,Answer the question concisely with only the answer: where was tales from the green valley filmed? Answer:,A small farm in Wales,"San Juan Islands, Washington."
2182,Answer the question concisely with only the answer: who sings blinded by the light wrapped up like a douche? Answer:,Bruce Springsteen,Manfred Mann's Earth Band
2183,Answer the question concisely with only the answer: where is c diff located in the body? Answer:,colon,The intestines and colon.
2184,Answer the question concisely with only the answer: when did the song drinking problem come out? Answer:,"July 27, 2017",2017. This answer
2185,Answer the question concisely with only the answer: where does a catalytic converter go on a car? Answer:,Underneath the vehicle,"Underneath the car, usually"
2186,Answer the question concisely with only the answer: what is the open door policy for china? Answer:,"Keep China open to trade with all countries on an equal basis, Keeping any one power from total control of the country, And calling upon all powers, Within their spheres of influence, To refrain from interfering with any treaty port or any vested interest, To permit Chinese authorities to collect tariffs on an equal basis, And to show no favors to their own nationals in the matter of harbor dues or railroad charges",The open door policy for China
2187,Answer the question concisely with only the answer: when was the euro introduced as legal currency? Answer:,January 1999,"January 1, 199"
2188,Answer the question concisely with only the answer: when was the first terabyte hard drive made? Answer:,2007,"2003.
The first"
2189,Answer the question concisely with only the answer: who conducts the election of vidhan sabha in the state? Answer:,An electorate consisting of all citizens above the age of 18,The Election Commission of India conducts
2190,Answer the question concisely with only the answer: who is the actress that plays in the movie peppermint? Answer:,Jennifer Garner,"Jennifer Garner. 
The movie"
2191,Answer the question concisely with only the answer: what is the north bridge in a computer? Answer:,One of the two chips in the core logic chipset architecture on a PC motherboard,It is a chip that connects
2192,Answer the question concisely with only the answer: who came up with the vaccine for polio? Answer:,Jonas Salk,"Jonas Salk. 
Answer"
2193,Answer the question concisely with only the answer: who made up the names of the months? Answer:,Julius Caesar,"The ancient Romans. 
Who"
